CID,CSRCREPO,CSRCFLDR,CSRCSFX,CLANG
DIRAREA,Performance-Engine-R-and-D,MAC,mac,HLASM
FILEAREA,Performance-Engine-R-and-D,MAC,mac,HLASM
GLOBAREA,Performance-Engine-R-and-D,MAC,mac,HLASM
GVBAUR66,Performance-Engine-R-and-D,MAC,mac,HLASM
GVBUR30P,Performance-Engine-R-and-D,MAC,mac,HLASM
PARTAREA,Performance-Engine-R-and-D,MAC,mac,HLASM
RECINIT,Performance-Engine-R-and-D,MAC,mac,HLASM
